ID,SystemCodeNumber,Capacity,Latitude,Longitude,Occupancy,VehicleType,TrafficConditionNearby,QueueLength,IsSpecialDay,LastUpdatedDate,LastUpdatedTime,Timestamp,Traffic,VehicleWeight,Demand,NormalizedDemand,Price,Date,AvgCompetitorPrice,MinCompetitorPrice,NearbyLots,Fullness,AdjustedPrice,RerouteSuggested
12,BHMBCCMKT01,577,26.14453614,91.73617216,238,car,high,5,0,04-10-2016,14:02:00,2016-10-04 14:02:00,1.0,1.0,2.464991334488735,0.3729753719290499,13.729753719290498,2016-10-04,13.596011860560482,10.839294010776868,12.0,0.4124783362218371,13.729753719290498,False
15,BHMBCCMKT01,577,26.14453614,91.73617216,165,car,low,2,0,04-10-2016,15:30:00,2016-10-04 15:30:00,0.0,1.0,1.7143847487001733,0.22994753982131877,12.29947539821319,2016-10-04,13.596011860560482,10.839294010776868,12.0,0.28596187175043325,13.29947539821319,False
16,BHMBCCMKT01,577,26.14453614,91.73617216,162,bike,low,1,0,04-10-2016,16:04:00,2016-10-04 16:04:00,0.0,0.5,0.9123050259965337,0.07711151881125654,10.771115188112566,2016-10-04,13.596011860560482,10.839294010776868,12.0,0.2807625649913345,11.771115188112566,False
18,BHMBCCMKT01,577,26.14453614,91.73617216,54,car,low,1,0,05-10-2016,07:57:00,2016-10-05 07:57:00,0.0,1.0,1.3374350086655111,0.15811989381939884,11.581198938193989,2016-10-05,13.80133367409569,11.195660253823442,12.0,0.09358752166377816,12.581198938193989,False
20,BHMBCCMKT01,577,26.14453614,91.73617216,71,car,low,2,0,05-10-2016,09:04:00,2016-10-05 09:04:00,0.0,1.0,1.6492201039861352,0.2175304387193777,12.175304387193776,2016-10-05,13.80133367409569,11.195660253823442,12.0,0.12305025996533796,13.175304387193776,False
22,BHMBCCMKT01,577,26.14453614,91.73617216,114,car,low,3,0,05-10-2016,10:04:00,2016-10-05 10:04:00,0.0,1.0,1.9790294627383016,0.2803755009454253,12.803755009454253,2016-10-05,13.80133367409569,11.195660253823442,12.0,0.1975736568457539,13.803755009454253,False
23,BHMBCCMKT01,577,26.14453614,91.73617216,128,truck,high,4,0,05-10-2016,10:30:00,2016-10-05 10:30:00,1.0,1.5,2.588734835355286,0.39655465434071463,13.965546543407147,2016-10-05,13.80133367409569,11.195660253823442,12.0,0.2218370883882149,13.965546543407147,False
26,BHMBCCMKT01,577,26.14453614,91.73617216,178,car,high,6,0,05-10-2016,12:04:00,2016-10-05 12:04:00,1.0,1.0,2.7233968804159447,0.4222144616710557,14.222144616710557,2016-10-05,13.80133367409569,11.195660253823442,12.0,0.30849220103986136,14.222144616710557,False
27,BHMBCCMKT01,577,26.14453614,91.73617216,183,car,high,7,0,05-10-2016,12:30:00,2016-10-05 12:30:00,1.0,1.0,3.0268630849220104,0.48003984472823347,14.800398447282335,2016-10-05,13.80133367409569,11.195660253823442,12.0,0.317157712305026,14.800398447282335,False
28,BHMBCCMKT01,577,26.14453614,91.73617216,175,car,high,7,0,05-10-2016,12:57:00,2016-10-05 12:57:00,1.0,1.0,3.021317157712305,0.4789830701663661,14.78983070166366,2016-10-05,13.80133367409569,11.195660253823442,12.0,0.30329289428076256,14.78983070166366,False
29,BHMBCCMKT01,577,26.14453614,91.73617216,179,truck,high,6,0,05-10-2016,13:30:00,2016-10-05 13:30:00,1.0,1.5,3.2240901213171576,0.5176213900846403,15.176213900846403,2016-10-05,13.80133367409569,11.195660253823442,12.0,0.31022530329289427,15.176213900846403,False
31,BHMBCCMKT01,577,26.14453614,91.73617216,158,car,high,5,0,05-10-2016,14:30:00,2016-10-05 14:30:00,1.0,1.0,2.409532062391681,0.3624076263103766,13.624076263103767,2016-10-05,13.80133367409569,11.195660253823442,12.0,0.2738301559792028,14.624076263103767,False
33,BHMBCCMKT01,577,26.14453614,91.73617216,129,car,low,2,0,05-10-2016,15:30:00,2016-10-05 15:30:00,0.0,1.0,1.6894280762564993,0.22519205429291583,12.251920542929158,2016-10-05,13.80133367409569,11.195660253823442,12.0,0.22357019064124783,13.251920542929158,False
34,BHMBCCMKT01,577,26.14453614,91.73617216,121,car,low,2,0,05-10-2016,16:04:00,2016-10-05 16:04:00,0.0,1.0,1.6838821490467937,0.22413527973104846,12.241352797310485,2016-10-05,13.80133367409569,11.195660253823442,12.0,0.2097053726169844,13.241352797310485,False
35,BHMBCCMKT01,577,26.14453614,91.73617216,114,bike,low,1,0,05-10-2016,16:30:00,2016-10-05 16:30:00,0.0,0.5,0.8790294627383015,0.07077087144005258,10.707708714400525,2016-10-05,13.80133367409569,11.195660253823442,12.0,0.1975736568457539,11.707708714400525,False
36,BHMBCCMKT01,577,26.14453614,91.73617216,58,car,low,1,0,06-10-2016,07:57:00,2016-10-06 07:57:00,0.0,1.0,1.340207972270364,0.15864828110033252,11.586482811003325,2016-10-06,13.717355480145482,10.790044402654939,12.0,0.10051993067590988,12.586482811003325,False
37,BHMBCCMKT01,577,26.14453614,91.73617216,63,car,low,1,0,06-10-2016,08:30:00,2016-10-06 08:30:00,0.0,1.0,1.3436741767764298,0.15930876520149959,11.593087652014995,2016-10-06,13.717355480145482,10.790044402654939,12.0,0.10918544194107452,12.593087652014995,False
38,BHMBCCMKT01,577,26.14453614,91.73617216,70,car,low,1,0,06-10-2016,08:57:00,2016-10-06 08:57:00,0.0,1.0,1.3485268630849219,0.1602334429431335,11.602334429431336,2016-10-06,13.717355480145482,10.790044402654939,12.0,0.12131715771230503,12.602334429431336,False
39,BHMBCCMKT01,577,26.14453614,91.73617216,95,car,low,2,0,06-10-2016,09:30:00,2016-10-06 09:30:00,0.0,1.0,1.6658578856152513,0.22070076240497966,12.207007624049798,2016-10-06,13.717355480145482,10.790044402654939,12.0,0.16464471403812825,13.207007624049798,False
40,BHMBCCMKT01,577,26.14453614,91.73617216,135,car,low,3,0,06-10-2016,10:03:00,2016-10-06 10:03:00,0.0,1.0,1.9935875216637782,0.28314953417032707,12.83149534170327,2016-10-06,13.717355480145482,10.790044402654939,12.0,0.2339688041594454,13.83149534170327,False
44,BHMBCCMKT01,577,26.14453614,91.73617216,199,car,high,7,0,06-10-2016,12:04:00,2016-10-06 12:04:00,1.0,1.0,3.037954939341421,0.48215339385196815,14.821533938519682,2016-10-06,13.717355480145482,10.790044402654939,12.0,0.34488734835355284,14.821533938519682,False
45,BHMBCCMKT01,577,26.14453614,91.73617216,206,car,high,7,0,06-10-2016,12:30:00,2016-10-06 12:30:00,1.0,1.0,3.042807625649913,0.483078071593602,14.83078071593602,2016-10-06,13.717355480145482,10.790044402654939,12.0,0.35701906412478335,14.83078071593602,False
47,BHMBCCMKT01,577,26.14453614,91.73617216,208,bike,high,7,0,06-10-2016,13:30:00,2016-10-06 13:30:00,1.0,0.5,2.5441941074523395,0.3880674336407176,13.880674336407175,2016-10-06,13.717355480145482,10.790044402654939,12.0,0.36048526863084923,13.880674336407175,False
50,BHMBCCMKT01,577,26.14453614,91.73617216,158,car,low,2,0,06-10-2016,15:04:00,2016-10-06 15:04:00,0.0,1.0,1.709532062391681,0.22902286207968484,12.290228620796848,2016-10-06,13.717355480145482,10.790044402654939,12.0,0.2738301559792028,13.290228620796848,False
51,BHMBCCMKT01,577,26.14453614,91.73617216,153,bike,low,2,0,06-10-2016,15:31:00,2016-10-06 15:31:00,0.0,0.5,1.2060658578856152,0.13308754638516654,11.330875463851665,2016-10-06,13.717355480145482,10.790044402654939,12.0,0.2651646447140381,12.330875463851665,False
52,BHMBCCMKT01,577,26.14453614,91.73617216,135,bike,low,1,0,06-10-2016,16:04:00,2016-10-06 16:04:00,0.0,0.5,0.8935875216637781,0.0735449046649543,10.735449046649544,2016-10-06,13.717355480145482,10.790044402654939,12.0,0.2339688041594454,11.735449046649544,False
53,BHMBCCMKT01,577,26.14453614,91.73617216,129,car,low,2,0,06-10-2016,16:30:00,2016-10-06 16:30:00,0.0,1.0,1.6894280762564993,0.22519205429291583,12.251920542929158,2016-10-06,13.717355480145482,10.790044402654939,12.0,0.22357019064124783,13.251920542929158,False
54,BHMBCCMKT01,577,26.14453614,91.73617216,58,car,low,2,0,07-10-2016,08:03:00,2016-10-07 08:03:00,0.0,1.0,1.640207972270364,0.21581318005634328,12.158131800563432,2016-10-07,13.545104851182554,10.763916423413026,12.0,0.10051993067590988,13.158131800563432,False
56,BHMBCCMKT01,577,26.14453614,91.73617216,75,car,low,1,0,07-10-2016,09:04:00,2016-10-07 09:04:00,0.0,1.0,1.351993067590988,0.1608939270443006,11.608939270443006,2016-10-07,13.545104851182554,10.763916423413026,12.0,0.12998266897746968,12.608939270443006,False
57,BHMBCCMKT01,577,26.14453614,91.73617216,103,car,low,2,0,07-10-2016,09:30:00,2016-10-07 09:30:00,0.0,1.0,1.6714038128249566,0.221757536966847,12.21757536966847,2016-10-07,13.545104851182554,10.763916423413026,12.0,0.17850953206239167,13.21757536966847,False
58,BHMBCCMKT01,577,26.14453614,91.73617216,128,bike,low,2,0,07-10-2016,09:57:00,2016-10-07 09:57:00,0.0,0.5,1.188734835355286,0.12978512587933116,11.297851258793312,2016-10-07,13.545104851182554,10.763916423413026,12.0,0.2218370883882149,12.297851258793312,False
59,BHMBCCMKT01,577,26.14453614,91.73617216,172,truck,high,5,0,07-10-2016,10:30:00,2016-10-07 10:30:00,1.0,1.5,2.9192374350086654,0.4595318133869956,14.595318133869956,2016-10-07,13.545104851182554,10.763916423413026,12.0,0.29809358752166376,14.595318133869956,False
62,BHMBCCMKT01,577,26.14453614,91.73617216,210,car,high,7,0,07-10-2016,12:03:00,2016-10-07 12:03:00,1.0,1.0,3.045580589254766,0.48360645887453574,14.836064588745357,2016-10-07,13.545104851182554,10.763916423413026,12.0,0.36395147313691506,14.836064588745357,False
63,BHMBCCMKT01,577,26.14453614,91.73617216,206,bike,high,7,0,07-10-2016,12:30:00,2016-10-07 12:30:00,1.0,0.5,2.542807625649913,0.38780324000025074,13.878032400002507,2016-10-07,13.545104851182554,10.763916423413026,12.0,0.35701906412478335,13.878032400002507,False
64,BHMBCCMKT01,577,26.14453614,91.73617216,200,car,high,7,0,07-10-2016,13:04:00,2016-10-07 13:04:00,1.0,1.0,3.0386481802426344,0.48228549067220156,14.822854906722016,2016-10-07,13.545104851182554,10.763916423413026,12.0,0.3466204506065858,14.822854906722016,False
65,BHMBCCMKT01,577,26.14453614,91.73617216,201,car,high,7,0,07-10-2016,13:30:00,2016-10-07 13:30:00,1.0,1.0,3.039341421143847,0.4824175874924349,14.82417587492435,2016-10-07,13.545104851182554,10.763916423413026,12.0,0.3483535528596187,14.82417587492435,False
68,BHMBCCMKT01,577,26.14453614,91.73617216,172,truck,low,2,0,07-10-2016,15:04:00,2016-10-07 15:04:00,0.0,1.5,2.219237435008665,0.3261470491563039,13.261470491563038,2016-10-07,13.545104851182554,10.763916423413026,12.0,0.29809358752166376,14.261470491563038,False
71,BHMBCCMKT01,577,26.14453614,91.73617216,132,car,low,2,0,07-10-2016,16:30:00,2016-10-07 16:30:00,0.0,1.0,1.6915077989601386,0.22558834475361603,12.25588344753616,2016-10-07,13.545104851182554,10.763916423413026,12.0,0.22876949740034663,13.25588344753616,False
72,BHMBCCMKT01,577,26.14453614,91.73617216,58,car,low,1,0,08-10-2016,07:57:00,2016-10-08 07:57:00,0.0,1.0,1.340207972270364,0.15864828110033252,11.586482811003325,2016-10-08,13.346423637197903,10.580503670813641,12.0,0.10051993067590988,12.586482811003325,False
74,BHMBCCMKT01,577,26.14453614,91.73617216,75,truck,low,1,0,08-10-2016,08:57:00,2016-10-08 08:57:00,0.0,1.5,1.851993067590988,0.25616875863765187,12.56168758637652,2016-10-08,13.346423637197903,10.580503670813641,12.0,0.12998266897746968,13.56168758637652,False
75,BHMBCCMKT01,577,26.14453614,91.73617216,104,car,low,2,0,08-10-2016,09:30:00,2016-10-08 09:30:00,0.0,1.0,1.6720970537261697,0.22188963378708038,12.218896337870804,2016-10-08,13.346423637197903,10.580503670813641,12.0,0.18024263431542462,13.218896337870804,False
76,BHMBCCMKT01,577,26.14453614,91.73617216,158,car,low,3,0,08-10-2016,10:04:00,2016-10-08 10:04:00,0.0,1.0,2.0095320623916813,0.28618776103569565,12.861877610356958,2016-10-08,13.346423637197903,10.580503670813641,12.0,0.2738301559792028,13.861877610356958,False
80,BHMBCCMKT01,577,26.14453614,91.73617216,306,car,high,7,0,08-10-2016,12:04:00,2016-10-08 12:04:00,1.0,1.0,3.1121317157712305,0.49628775361694366,14.962877536169437,2016-10-08,13.346423637197903,10.580503670813641,12.0,0.5303292894280762,14.962877536169437,False
81,BHMBCCMKT01,577,26.14453614,91.73617216,320,car,high,8,0,08-10-2016,12:30:00,2016-10-08 12:30:00,1.0,1.0,3.4218370883882145,0.5553020080562221,15.55302008056222,2016-10-08,13.346423637197903,10.580503670813641,12.0,0.5545927209705372,15.55302008056222,False
82,BHMBCCMKT01,577,26.14453614,91.73617216,348,car,high,7,0,08-10-2016,13:04:00,2016-10-08 13:04:00,1.0,1.0,3.1412478336221836,0.5018358200667471,15.018358200667471,2016-10-08,13.346423637197903,10.580503670813641,12.0,0.6031195840554593,15.018358200667471,False
83,BHMBCCMKT01,577,26.14453614,91.73617216,357,car,high,7,0,08-10-2016,13:30:00,2016-10-08 13:30:00,1.0,1.0,3.147487001733102,0.5030246914488478,15.03024691448848,2016-10-08,13.346423637197903,10.580503670813641,12.0,0.6187175043327556,15.03024691448848,False
88,BHMBCCMKT01,577,26.14453614,91.73617216,381,car,low,2,0,08-10-2016,16:04:00,2016-10-08 16:04:00,0.0,1.0,1.8641247833622183,0.2584804529917366,12.584804529917367,2016-10-08,13.346423637197903,10.580503670813641,12.0,0.6603119584055459,13.584804529917367,False
89,BHMBCCMKT01,577,26.14453614,91.73617216,365,truck,low,2,0,08-10-2016,16:30:00,2016-10-08 16:30:00,0.0,1.5,2.353032928942808,0.35164173546135324,13.516417354613532,2016-10-08,13.346423637197903,10.580503670813641,12.0,0.6325823223570191,13.516417354613532,False
90,BHMBCCMKT01,577,26.14453614,91.73617216,42,car,low,2,1,09-10-2016,08:04:00,2016-10-09 08:04:00,0.0,1.0,1.7291161178509533,0.2327545972512789,12.327545972512791,2016-10-09,13.984648148833804,11.34678116044636,12.0,0.07279029462738301,13.327545972512791,False
91,BHMBCCMKT01,577,26.14453614,91.73617216,42,bike,low,2,1,09-10-2016,08:30:00,2016-10-09 08:30:00,0.0,0.5,1.2291161178509533,0.13747976565792763,11.374797656579275,2016-10-09,13.984648148833804,11.34678116044636,12.0,0.07279029462738301,12.374797656579275,False
92,BHMBCCMKT01,577,26.14453614,91.73617216,43,car,low,2,1,09-10-2016,09:04:00,2016-10-09 09:04:00,0.0,1.0,1.7298093587521663,0.23288669407151227,12.328866940715121,2016-10-09,13.984648148833804,11.34678116044636,12.0,0.07452339688041594,13.328866940715121,False
99,BHMBCCMKT01,577,26.14453614,91.73617216,170,truck,high,9,1,09-10-2016,12:30:00,2016-10-09 12:30:00,1.0,1.5,4.217850953206239,0.706982181889242,17.069821818892418,2016-10-09,13.984648148833804,11.34678116044636,12.0,0.29462738301559793,17.069821818892418,False
100,BHMBCCMKT01,577,26.14453614,91.73617216,189,car,high,8,1,09-10-2016,13:04:00,2016-10-09 13:04:00,1.0,1.0,3.4310225303292894,0.557052290924315,15.570522909243149,2016-10-09,13.984648148833804,11.34678116044636,12.0,0.3275563258232236,15.570522909243149,False
101,BHMBCCMKT01,577,26.14453614,91.73617216,205,bike,high,9,1,09-10-2016,13:30:00,2016-10-09 13:30:00,1.0,0.5,3.2421143847487,0.5210559074107091,15.21055907410709,2016-10-09,13.984648148833804,11.34678116044636,12.0,0.35528596187175043,15.21055907410709,False
104,BHMBCCMKT01,577,26.14453614,91.73617216,191,car,low,3,1,09-10-2016,15:04:00,2016-10-09 15:04:00,0.0,1.0,2.132409012131716,0.30960192242206863,13.096019224220687,2016-10-09,13.984648148833804,11.34678116044636,12.0,0.3310225303292894,14.096019224220687,False
105,BHMBCCMKT01,577,26.14453614,91.73617216,180,car,low,3,1,09-10-2016,15:30:00,2016-10-09 15:30:00,0.0,1.0,2.1247833622183707,0.308148857399501,13.08148857399501,2016-10-09,13.984648148833804,11.34678116044636,12.0,0.3119584055459272,14.08148857399501,False
106,BHMBCCMKT01,577,26.14453614,91.73617216,155,truck,low,3,1,09-10-2016,16:03:00,2016-10-09 16:03:00,0.0,1.5,2.6074523396880416,0.40012126848701685,14.001212684870168,2016-10-09,13.984648148833804,11.34678116044636,12.0,0.268630849220104,14.001212684870168,False
107,BHMBCCMKT01,577,26.14453614,91.73617216,133,car,low,2,1,09-10-2016,16:30:00,2016-10-09 16:30:00,0.0,1.0,1.792201039861352,0.24477540789251973,12.447754078925197,2016-10-09,13.984648148833804,11.34678116044636,12.0,0.23050259965337955,13.447754078925197,False
108,BHMBCCMKT01,577,26.14453614,91.73617216,54,bike,low,1,0,10-10-2016,08:04:00,2016-10-10 08:04:00,0.0,0.5,0.8374350086655112,0.06284506222604762,10.628450622260477,2016-10-10,13.587875401517563,11.261409053832754,12.0,0.09358752166377816,11.628450622260477,False
109,BHMBCCMKT01,577,26.14453614,91.73617216,56,truck,low,1,0,10-10-2016,08:30:00,2016-10-10 08:30:00,0.0,1.5,1.8388214904679376,0.2536589190532169,12.536589190532169,2016-10-10,13.587875401517563,11.261409053832754,12.0,0.09705372616984402,13.536589190532169,False
110,BHMBCCMKT01,577,26.14453614,91.73617216,65,car,low,1,0,10-10-2016,09:04:00,2016-10-10 09:04:00,0.0,1.0,1.345060658578856,0.15957295884196643,11.595729588419665,2016-10-10,13.587875401517563,11.261409053832754,12.0,0.11265164644714037,12.595729588419665,False
111,BHMBCCMKT01,577,26.14453614,91.73617216,73,bike,low,2,0,10-10-2016,09:30:00,2016-10-10 09:30:00,0.0,0.5,1.1506065857885615,0.12251980076649326,11.225198007664932,2016-10-10,13.587875401517563,11.261409053832754,12.0,0.1265164644714038,12.225198007664932,False
117,BHMBCCMKT01,577,26.14453614,91.73617216,171,car,high,6,0,10-10-2016,12:30:00,2016-10-10 12:30:00,1.0,1.0,2.7185441941074524,0.42128978392942174,14.212897839294216,2016-10-10,13.587875401517563,11.261409053832754,12.0,0.29636048526863085,14.212897839294216,False
119,BHMBCCMKT01,577,26.14453614,91.73617216,172,car,high,6,0,10-10-2016,13:30:00,2016-10-10 13:30:00,1.0,1.0,2.719237435008665,0.4214218807496551,14.21421880749655,2016-10-10,13.587875401517563,11.261409053832754,12.0,0.29809358752166376,14.21421880749655,False
120,BHMBCCMKT01,577,26.14453614,91.73617216,161,car,high,5,0,10-10-2016,14:03:00,2016-10-10 14:03:00,1.0,1.0,2.411611785095321,0.36280391677107693,13.628039167710767,2016-10-10,13.587875401517563,11.261409053832754,12.0,0.27902946273830154,13.628039167710767,False
123,BHMBCCMKT01,577,26.14453614,91.73617216,129,bike,low,1,0,10-10-2016,15:30:00,2016-10-10 15:30:00,0.0,0.5,0.8894280762564991,0.07275232374355381,10.72752323743554,2016-10-10,13.587875401517563,11.261409053832754,12.0,0.22357019064124783,11.72752323743554,False
125,BHMBCCMKT01,577,26.14453614,91.73617216,114,truck,low,2,0,10-10-2016,16:30:00,2016-10-10 16:30:00,0.0,1.5,2.179029462738302,0.3184854335827658,13.184854335827659,2016-10-10,13.587875401517563,11.261409053832754,12.0,0.1975736568457539,14.184854335827659,False
127,BHMBCCMKT01,577,26.14453614,91.73617216,64,car,low,1,0,11-10-2016,08:30:00,2016-10-11 08:30:00,0.0,1.0,1.344367417677643,0.15944086202173302,11.594408620217331,2016-10-11,13.642716388307932,11.194028719069077,12.0,0.11091854419410745,12.594408620217331,False
128,BHMBCCMKT01,577,26.14453614,91.73617216,74,truck,low,1,0,11-10-2016,08:57:00,2016-10-11 08:57:00,0.0,1.5,1.8512998266897747,0.2560366618174184,12.560366618174184,2016-10-11,13.642716388307932,11.194028719069077,12.0,0.12824956672443674,13.560366618174184,False
129,BHMBCCMKT01,577,26.14453614,91.73617216,93,bike,low,2,0,11-10-2016,09:30:00,2016-10-11 09:30:00,0.0,0.5,1.164471403812825,0.1251617371711616,11.251617371711616,2016-10-11,13.642716388307932,11.194028719069077,12.0,0.1611785095320624,12.251617371711616,False
134,BHMBCCMKT01,577,26.14453614,91.73617216,225,car,high,7,0,11-10-2016,12:03:00,2016-10-11 12:03:00,1.0,1.0,3.0559792027729635,0.48558791117803696,14.85587911178037,2016-10-11,13.642716388307932,11.194028719069077,12.0,0.389948006932409,14.85587911178037,False
140,BHMBCCMKT01,577,26.14453614,91.73617216,167,bike,low,2,0,11-10-2016,15:03:00,2016-10-11 15:03:00,0.0,0.5,1.2157712305025996,0.13493690186843435,11.349369018684342,2016-10-11,13.642716388307932,11.194028719069077,12.0,0.28942807625649913,12.349369018684342,False
141,BHMBCCMKT01,577,26.14453614,91.73617216,159,car,low,2,0,11-10-2016,15:33:00,2016-10-11 15:33:00,0.0,1.0,1.7102253032928942,0.22915495889991827,12.291549588999182,2016-10-11,13.642716388307932,11.194028719069077,12.0,0.2755632582322357,13.291549588999182,False
142,BHMBCCMKT01,577,26.14453614,91.73617216,150,bike,low,1,0,11-10-2016,16:01:00,2016-10-11 16:01:00,0.0,0.5,0.9039861351819758,0.07552635696845557,10.755263569684557,2016-10-11,13.642716388307932,11.194028719069077,12.0,0.25996533795493937,11.755263569684557,False
143,BHMBCCMKT01,577,26.14453614,91.73617216,127,car,low,2,0,11-10-2016,16:26:00,2016-10-11 16:26:00,0.0,1.0,1.6880415944540728,0.22492786065244896,12.24927860652449,2016-10-11,13.642716388307932,11.194028719069077,12.0,0.22010398613518198,13.24927860652449,False
144,BHMBCCMKT01,577,26.14453614,91.73617216,51,bike,low,1,0,12-10-2016,08:04:00,2016-10-12 08:04:00,0.0,0.5,0.8353552859618718,0.06244877176534739,10.624487717653475,2016-10-12,13.680907531819155,10.873539721829372,12.0,0.08838821490467938,11.624487717653475,False
145,BHMBCCMKT01,577,26.14453614,91.73617216,57,car,low,2,0,12-10-2016,08:31:00,2016-10-12 08:31:00,0.0,1.0,1.6395147313691507,0.21568108323610985,12.156810832361097,2016-10-12,13.680907531819155,10.873539721829372,12.0,0.09878682842287695,13.156810832361097,False
146,BHMBCCMKT01,577,26.14453614,91.73617216,64,bike,low,1,0,12-10-2016,09:03:00,2016-10-12 09:03:00,0.0,0.5,0.844367417677643,0.06416603042838179,10.641660304283818,2016-10-12,13.680907531819155,10.873539721829372,12.0,0.11091854419410745,11.641660304283818,False
147,BHMBCCMKT01,577,26.14453614,91.73617216,73,car,low,1,0,12-10-2016,09:26:00,2016-10-12 09:26:00,0.0,1.0,1.3506065857885616,0.1606297334038338,11.606297334038338,2016-10-12,13.680907531819155,10.873539721829372,12.0,0.1265164644714038,12.606297334038338,False
152,BHMBCCMKT01,577,26.14453614,91.73617216,143,car,high,6,0,12-10-2016,12:04:00,2016-10-12 12:04:00,1.0,1.0,2.6991334488734835,0.4175910729628861,14.175910729628862,2016-10-12,13.680907531819155,10.873539721829372,12.0,0.24783362218370883,14.175910729628862,False
154,BHMBCCMKT01,577,26.14453614,91.73617216,157,bike,high,6,0,12-10-2016,13:04:00,2016-10-12 13:04:00,1.0,0.5,2.2088388214904677,0.32416559685280266,13.241655968528026,2016-10-12,13.680907531819155,10.873539721829372,12.0,0.2720970537261698,14.241655968528026,False
155,BHMBCCMKT01,577,26.14453614,91.73617216,164,car,high,6,0,12-10-2016,13:34:00,2016-10-12 13:34:00,1.0,1.0,2.71369150779896,0.42036510618778783,14.203651061877878,2016-10-12,13.680907531819155,10.873539721829372,12.0,0.28422876949740034,14.203651061877878,False
156,BHMBCCMKT01,577,26.14453614,91.73617216,167,bike,high,5,0,12-10-2016,14:03:00,2016-10-12 14:03:00,1.0,0.5,1.9157712305025998,0.2683216660991261,12.683216660991262,2016-10-12,13.680907531819155,10.873539721829372,12.0,0.28942807625649913,13.683216660991262,False
158,BHMBCCMKT01,577,26.14453614,91.73617216,140,car,low,2,0,12-10-2016,15:01:00,2016-10-12 15:01:00,0.0,1.0,1.697053726169844,0.22664511931548337,12.266451193154833,2016-10-12,13.680907531819155,10.873539721829372,12.0,0.24263431542461006,13.266451193154833,False
159,BHMBCCMKT01,577,26.14453614,91.73617216,128,truck,low,2,0,12-10-2016,15:30:00,2016-10-12 15:30:00,0.0,1.5,2.188734835355286,0.32033478906603363,13.203347890660337,2016-10-12,13.680907531819155,10.873539721829372,12.0,0.2218370883882149,14.203347890660337,False
